,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,jalu,LY,1590174323.0,29.03,21.55,78.87,35.0,99.0,15.35
273,buraydah,SA,1590174323.0,26.33,43.98,93.2,15.0,11.0,5.82
274,umm bab,QA,1590174323.0,25.21,50.81,91.0,31.0,1.0,8.05
275,biak,ID,1590174323.0,-0.91,122.88,78.19,78.0,91.0,1.72
276,lebu,CL,1590174324.0,-37.62,-73.65,55.92,50.0,100.0,5.41
277,sangar,RU,1590174324.0,63.92,127.47,37.85,74.0,0.0,5.12
278,sumbe,AO,1590174324.0,-11.21,13.84,77.52,85.0,0.0,6.8
279,kuvshinovo,RU,1590174324.0,57.03,34.17,38.59,96.0,100.0,8.41
280,kiunga,PG,1590174324.0,-6.12,141.29,75.13,98.0,100.0,1.32
281,talen,IN,1590174324.0,23.57,76.72,90.52,17.0,0.0,11.41
282,sharlyk,RU,1590174324.0,52.92,54.75,55.02,95.0,100.0,3.58
283,luderitz,NA,1590174324.0,-26.65,15.16,62.6,77.0,0.0,14.99
284,cabo san lucas,MX,1590174324.0,22.89,-109.91,82.0,61.0,20.0,5.82
286,zambezi,ZM,1590174325.0,-13.54,23.1,61.59,51.0,19.0,5.39
287,geraldton,AU,1590174325.0,-28.77,114.6,53.6,37.0,0.0,8.05
288,alice springs,AU,1590174179.0,-23.7,133.88,37.4,59.0,0.0,5.82
289,saint-augustin,CA,1590174258.0,51.23,-58.65,41.95,55.0,100.0,22.53
291,escarcega,MX,1590174325.0,18.61,-90.75,103.14,29.0,19.0,3.83
292,avera,US,1590174325.0,33.19,-82.53,87.8,52.0,40.0,6.93
293,bokoro,TD,1590174325.0,12.38,17.06,94.21,29.0,0.0,6.11
294,port hedland,AU,1590174325.0,-20.32,118.57,62.6,33.0,0.0,10.29
295,tirano,IT,1590174326.0,46.22,10.17,57.99,41.0,97.0,2.24
296,birjand,IR,1590174326.0,32.87,59.22,64.4,12.0,0.0,6.93
297,teahupoo,PF,1590174326.0,-17.83,-149.27,80.6,65.0,20.0,4.7
298,chisindia,RO,1590174326.0,46.28,22.1,57.2,74.0,0.0,0.65
299,narsaq,GL,1590174326.0,60.92,-46.05,55.4,20.0,40.0,8.05
301,ribeira grande,PT,1590174326.0,38.52,-28.7,62.6,77.0,20.0,5.82
302,afonino,RU,1590174326.0,56.26,44.09,46.99,93.0,40.0,6.71
303,emborion,GR,1590174327.0,40.48,21.55,57.2,47.0,0.0,1.92
305,spornoye,RU,1590174327.0,50.84,37.29,42.8,81.0,67.0,8.95
306,atar,MR,1590174327.0,20.52,-13.05,100.29,9.0,0.0,12.24
307,ukiah,US,1590174327.0,39.15,-123.21,66.2,34.0,1.0,11.41
308,east london,ZA,1590174327.0,-33.02,27.91,68.63,86.0,15.0,12.97
309,siilinjarvi,FI,1590174327.0,63.08,27.67,55.4,35.0,0.0,4.7
