,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,luena,AO,1601993572.0,-11.78,19.92,91.4,31.0,40.0,5.44
136,campoverde,PE,1601993573.0,-8.48,-74.81,89.1,48.0,8.0,2.8
137,mar del plata,AR,1601993573.0,-38.0,-57.56,62.01,93.0,40.0,8.05
139,marsa matruh,EG,1601993573.0,31.35,27.25,84.2,58.0,0.0,5.82
140,calabozo,VE,1601993573.0,8.92,-67.43,78.89,83.0,90.0,2.71
143,vestmannaeyjar,IS,1601993573.0,63.44,-20.27,44.6,81.0,75.0,11.41
144,scottsbluff,US,1601993574.0,41.87,-103.67,53.01,35.0,1.0,5.82
145,hilo,US,1601993371.0,19.73,-155.09,73.4,69.0,20.0,6.93
146,avarua,CK,1601993574.0,-21.21,-159.78,69.8,68.0,82.0,8.05
147,andahuaylas,PE,1601993574.0,-13.66,-73.39,59.29,51.0,46.0,6.46
148,salalah,OM,1601993574.0,17.02,54.09,82.4,74.0,20.0,10.29
150,valkeakoski,FI,1601993574.0,61.26,24.03,57.0,87.0,90.0,12.75
151,carnarvon,AU,1601993574.0,-24.87,113.63,66.2,59.0,0.0,12.75
152,zhanaozen,KZ,1601993575.0,43.3,52.8,54.79,32.0,0.0,11.16
153,otofuke,JP,1601993575.0,42.99,143.2,48.83,87.0,10.0,3.94
157,arkhipo-osipovka,RU,1601993575.0,44.37,38.52,71.58,59.0,0.0,6.58
158,port moresby,PG,1601993576.0,-9.44,147.18,77.0,88.0,20.0,11.41
159,puerto ayora,EC,1601993576.0,-0.74,-90.35,69.01,85.0,99.0,5.01
160,hailar,CN,1601993576.0,49.2,119.7,36.07,80.0,81.0,2.64
161,nangomba,TZ,1601993576.0,-10.9,38.5,95.7,24.0,48.0,7.92
162,hofn,IS,1601993576.0,64.25,-15.21,48.36,92.0,98.0,7.94
163,flin flon,CA,1601993576.0,54.77,-101.86,42.8,93.0,90.0,5.82
164,udachnyy,RU,1601993576.0,66.42,112.4,28.4,68.0,90.0,8.95
165,pipri,IN,1601993577.0,19.8,75.53,82.4,51.0,1.0,7.65
166,mahebourg,MU,1601993577.0,-20.41,57.7,75.2,83.0,40.0,10.29
167,sovetskiy,RU,1601993577.0,61.36,63.58,33.37,86.0,0.0,6.17
168,otavi,NA,1601993577.0,-19.65,17.33,96.76,9.0,0.0,17.0
169,fort-shevchenko,KZ,1601993577.0,44.51,50.26,62.33,48.0,0.0,3.4
170,dunedin,NZ,1601993577.0,-45.87,170.5,48.0,72.0,100.0,4.0
171,omsukchan,RU,1601993577.0,62.53,155.8,26.73,89.0,77.0,6.46
173,cidreira,BR,1601993578.0,-30.18,-50.21,63.01,69.0,0.0,12.95
174,qixingtai,CN,1601993578.0,30.41,111.89,50.7,90.0,100.0,6.35
176,cap malheureux,MU,1601993578.0,-19.98,57.61,75.99,75.0,0.0,3.0
177,ballarat,AU,1601993578.0,-37.57,143.85,48.0,93.0,100.0,3.71
178,jaciara,BR,1601993578.0,-15.97,-54.97,106.41,11.0,16.0,4.85
179,misratah,LY,1601993579.0,32.38,15.09,90.27,30.0,98.0,9.08
180,katobu,ID,1601993579.0,-4.94,122.53,77.4,84.0,78.0,2.71
182,mahajanga,MG,1601993579.0,-15.72,46.32,82.4,69.0,20.0,10.29
185,ponta do sol,PT,1601993579.0,32.67,-17.1,73.4,69.0,40.0,14.99
186,nemuro,JP,1601993580.0,43.32,145.57,56.03,78.0,19.0,7.87
187,touros,BR,1601993580.0,-5.2,-35.46,84.2,62.0,75.0,13.87
188,parabel,RU,1601993580.0,58.7,81.48,33.01,97.0,100.0,11.88
189,jiwani,PK,1601993580.0,25.05,61.74,83.37,72.0,0.0,14.47
190,geraldton,AU,1601993581.0,-28.77,114.6,50.0,61.0,45.0,3.36
191,upernavik,GL,1601993581.0,72.79,-56.15,22.37,81.0,0.0,3.6
193,poum,NC,1601993581.0,-20.23,164.02,71.94,82.0,0.0,18.99
194,saskylakh,RU,1601993581.0,71.92,114.08,22.42,97.0,96.0,12.64
195,port blair,IN,1601993581.0,11.67,92.75,81.72,81.0,6.0,5.86
